split,cohort,model,c_index
58,TCGA_test,Clinical,0.824101549620838
58,Kao,M2EFM_Molecular,0.699530516431925
58,Kao,M2EFM_ExpClin,0.718120168824394
58,Kao,Clinical,0.625574998814436
58,Terunuma,M2EFM_Molecular,0.664618086040386
58,Terunuma,M2EFM_ExpClin,0.697102721685689
58,Terunuma,Clinical,0.665496049165935
59,TCGA_test,M2EFM_Molecular,0.729650386976248
59,TCGA_test,M2EFM_ExpClin,0.789698425406992
59,TCGA_test,Clinical,0.770616493194556
59,Kao,M2EFM_Molecular,0.688907857921942
59,Kao,M2EFM_ExpClin,0.709394413619766
59,Kao,Clinical,0.614098733817044
59,Terunuma,M2EFM_Molecular,0.615452151009658
59,Terunuma,M2EFM_ExpClin,0.684811237928007
59,Terunuma,Clinical,0.662862159789289
60,TCGA_test,M2EFM_Molecular,0.639251523063534
60,TCGA_test,M2EFM_ExpClin,0.682550043516101
60,TCGA_test,Clinical,0.688751087902524
60,Kao,M2EFM_Molecular,0.683975909328022
60,Kao,M2EFM_ExpClin,0.718404704320197
60,Kao,Clinical,0.636150234741784
60,Terunuma,M2EFM_Molecular,0.608428446005268
60,Terunuma,M2EFM_ExpClin,0.660228270412643
60,Terunuma,Clinical,0.659350307287094
61,TCGA_test,M2EFM_Molecular,0.694408657562484
61,TCGA_test,M2EFM_ExpClin,0.759082710641587
61,TCGA_test,Clinical,0.741303787683587
61,Kao,M2EFM_Molecular,0.688291364347703
61,Kao,M2EFM_ExpClin,0.700810926163039
61,Kao,Clinical,0.631265708730498
61,Terunuma,M2EFM_Molecular,0.607550482879719
61,Terunuma,M2EFM_ExpClin,0.694468832309043
61,Terunuma,Clinical,0.659350307287094
62,TCGA_test,M2EFM_Molecular,0.682853223593964
62,TCGA_test,M2EFM_ExpClin,0.758847736625515
62,TCGA_test,Clinical,0.732235939643347
62,Kao,M2EFM_Molecular,0.686963532033955
62,Kao,M2EFM_ExpClin,0.725328401384739
62,Kao,Clinical,0.62723478920662
62,Terunuma,M2EFM_Molecular,0.675153643546971
62,Terunuma,M2EFM_ExpClin,0.692712906057946
